datetime,open,high,low,close,volume,openinterest
2019-12-30 00:00:00,996.82,999.91,999.91,991.55,30130,0
2019-12-29 00:00:00,992.64,994.55,1000.00,992,8300,0
2019-12-26 00:00:00,992.18,985.55,999.55,985.46,5090,0
2019-12-24 00:00:00,981.64,999.09,999.09,978.18,27620,0
2019-12-23 00:00:00,992.91,1000.91,1012.09,991,7580,0
2019-12-22 00:00:00,1001.09,1015.73,1016.36,1000.00,4390,0
2019-12-19 00:00:00,1015.46,1021.73,1022.73,1014.64,1980,0
2019-12-18 00:00:00,999.64,1031.82,1031.82,995.55,10170,0
2019-12-17 00:00:00,1033.36,1038.36,1038.36,1030.91,25980,0
2019-12-15 00:00:00,1037.64,1042.18,1042.27,1037.27,8330,0
2019-12-12 00:00:00,1042.18,1045.45,1046.09,1040.09,6410,0
2019-12-11 00:00:00,1046.82,1044.09,1050.00,1044.09,3240,0
2019-12-10 00:00:00,1048.55,1058.09,1058.09,1045.45,3400,0
2019-12-09 00:00:00,1050.27,1059.00,1059.09,1041.82,2400,0
2019-12-08 00:00:00,1053.27,1048.18,1058.18,1041.91,5180,0
2019-12-05 00:00:00,1055.45,1058.18,1067.27,1050.00,3840,0
2019-12-04 00:00:00,1057.73,1051.27,1072.27,1045.45,5230,0
2019-12-03 00:00:00,1049.73,1045.45,1104.18,1042.00,7730,0
2019-12-02 00:00:00,1046.27,1059.09,1059.09,1041.82,16300,0
2019-12-01 00:00:00,968,957.27,971.82,950,21490,0
2019-11-28 00:00:00,1059.36,1060.91,1063.55,1057.45,17590,0
2019-11-27 00:00:00,1063.55,1060.18,1070.00,1060.00,13540,0
2019-11-26 00:00:00,1062.91,1063.64,1071.82,1057.36,18350,0
2019-11-25 00:00:00,1068.18,1074.36,1074.36,1064.55,9670,0
2019-11-24 00:00:00,1069.45,1079.09,1085.45,1064.55,18250,0
2019-11-21 00:00:00,1083.09,1089.09,1100.00,1070.18,36860,0
2019-11-20 00:00:00,1081.98,1082.65,1090.08,1080.17,36890,0
2019-11-19 00:00:00,1081.57,1081.41,1085.95,1077.69,29320,0
2019-11-18 00:00:00,1081.41,1091.74,1091.74,1066.78,14110,0
2019-11-17 00:00:00,1079.83,1107.44,1107.44,1074.38,129250,0
2019-11-14 00:00:00,1112.23,1089.42,1115.70,1084.30,100920,0
2019-11-13 00:00:00,1089.34,1082.65,1092.56,1079.50,26830,0
2019-11-12 00:00:00,1080.08,1075.21,1080.99,1073.55,32290,0
2019-11-11 00:00:00,1070.00,1066.12,1075.21,1064.79,69490,0
2019-11-07 00:00:00,1065.29,1065.29,1067.69,1064.46,13830,0
2019-11-06 00:00:00,1065.79,1067.77,1069.42,1063.64,33170,0
2019-11-05 00:00:00,1065.70,1066.28,1072.40,1064.55,21890,0
2019-11-04 00:00:00,1068.27,1073.39,1073.39,1066.28,13110,0
2019-11-03 00:00:00,1067.11,1065.37,1067.77,1064.46,9810,0
2019-10-31 00:00:00,1066.36,1086.78,1086.78,1057.85,35050,0
2019-10-30 00:00:00,1076.61,1080.74,1080.99,1071.16,11020,0
2019-10-29 00:00:00,1080.41,1079.42,1082.48,1078.51,14730,0
2019-10-28 00:00:00,1081.41,1074.30,1082.56,1074.30,32940,0
2019-10-27 00:00:00,1074.30,1068.59,1077.60,1062.81,12030,0
2019-10-24 00:00:00,1073.64,1083.47,1083.47,1066.20,13400,0
2019-10-23 00:00:00,1080.83,1078.35,1083.47,1066.61,65280,0
2019-10-22 00:00:00,1077.52,1072.73,1078.51,1063.72,13840,0
2019-10-21 00:00:00,1076.12,1069.42,1076.86,1058.02,33360,0
2019-10-20 00:00:00,1073.14,1057.93,1077.69,1057.85,34320,0
2019-10-17 00:00:00,1066.61,1057.93,1069.26,1057.93,32700,0
2019-10-16 00:00:00,1061.90,1057.85,1063.31,1051.74,15110,0
2019-10-15 00:00:00,1057.44,1049.50,1061.98,1043.97,8390,0
2019-10-14 00:00:00,1050.08,1048.76,1057.77,1048.18,3070,0
2019-10-13 00:00:00,1054.71,1066.12,1070.25,1049.83,4450,0
2019-10-10 00:00:00,1054.63,1059.26,1061.90,1049.59,2940,0
2019-10-09 00:00:00,1061.07,1051.24,1061.98,1046.36,7680,0
2019-10-07 00:00:00,1059.09,1035.70,1070.25,1035.70,4310,0
2019-10-06 00:00:00,1066.69,1070.25,1070.25,1057.85,6200,0
2019-10-03 00:00:00,1058.35,1045.54,1064.46,1044.63,5840,0
2019-10-02 00:00:00,1044.79,1043.06,1049.59,1043.06,3190,0
2019-10-01 00:00:00,1042.89,1049.59,1053.22,1041.32,12210,0
2019-09-30 00:00:00,1049.42,1050.50,1062.81,1046.28,10450,0
2019-09-29 00:00:00,1049.42,1066.12,1066.12,1046.28,12880,0
2019-09-26 00:00:00,1062.07,1066.12,1066.12,1033.06,9220,0
2019-09-25 00:00:00,1063.14,1088.43,1093.22,1058.84,6180,0
2019-09-24 00:00:00,1087.60,1073.14,1090.91,1070.25,87610,0
2019-09-23 00:00:00,1073.14,1053.72,1076.03,1045.54,22670,0
2019-09-22 00:00:00,1051.16,1066.12,1078.51,1033.47,55380,0
